date,goods_no,sell_num
2026-09-25,116860343,11010
2026-09-25,125137664,1296
2026-09-25,125648104,168
2026-09-25,129043457,246
2026-09-25,129602186,2436
2026-09-25,129602748,1794
2026-09-25,132766309,492
2026-09-25,139563085,762
2026-09-25,139604589,378
2026-09-25,139734696,2370
2026-09-25,141311308,48
2026-09-25,141312058,198
2026-09-25,142558644,90
2026-09-25,142637189,246
2026-09-25,144043886,1212
2026-09-25,145099755,1350
2026-09-25,145338919,552
2026-09-25,145575183,72
2026-09-25,145656189,72
2026-09-25,145995000,12
2026-09-25,146262491,144
2026-09-25,146741944,48
2026-09-25,147127904,636
2026-09-25,147341992,576
2026-09-25,147572534,246
2026-09-25,147852321,306
2026-09-25,148079920,36
2026-09-25,148080194,2829
2026-09-25,148369512,336
2026-09-25,148386650,474
2026-09-25,149195623,1932
2026-09-25,149385474,120
2026-09-25,149414736,10164
2026-09-25,149607439,696
2026-09-25,150009333,2331
2026-09-25,150547033,336
2026-09-25,151359723,426
2026-09-25,151852205,522
2026-09-25,152079426,16866
2026-09-25,152110612,414
2026-09-25,152111138,1062
2026-09-25,152119137,3210
2026-09-25,152363144,714
2026-09-25,152449732,504
2026-09-25,152498115,306
2026-09-25,152647602,930
2026-09-25,152649327,1518
2026-09-25,152814420,2649
2026-09-25,153603522,2274
2026-09-25,153717914,96
2026-09-25,154238820,444
2026-09-25,154254878,4182
2026-09-25,157776421,1422
2026-09-25,158727530,2400
2026-09-25,159039383,882
2026-09-25,159169056,222
2026-09-25,160153205,348
2026-09-25,161924116,1242
2026-09-25,162178083,822
2026-09-25,162211876,708
2026-09-25,162322988,8604
2026-09-25,165239801,9342
2026-09-25,167144757,1506
2026-09-25,167464778,294
2026-09-25,167646172,156
2026-09-25,168274102,438
2026-09-25,168457235,444
2026-09-25,168648560,390
2026-09-25,168654454,3612
2026-09-25,168841427,444
2026-09-25,169350533,264
2026-09-25,169641363,660
2026-09-25,170430984,612
2026-09-25,170473491,1938
2026-09-25,171542281,7920
2026-09-25,171567191,1518
2026-09-25,171651782,378
2026-09-25,172551312,240
2026-09-25,174304314,882
2026-09-25,175122641,1128
2026-09-25,175133788,3786
2026-09-25,175226781,948
2026-09-25,175523653,1170
2026-09-25,175863613,1575
2026-09-25,176025748,1272
2026-09-25,176921133,222
2026-09-25,176955803,162
2026-09-25,176990624,1692
2026-09-25,177059661,480
2026-09-25,177077802,1710
2026-09-25,177114666,2076
2026-09-25,177127585,270
2026-09-25,177702125,444
2026-09-25,177808924,3414
2026-09-25,178374437,816
2026-09-25,178420804,24
2026-09-25,178728314,1506
2026-09-25,179716972,2064
2026-09-25,179740114,342
2026-09-25,180335619,2328
2026-09-25,180386716,1242
2026-09-25,180391041,180
2026-09-25,180484161,840
2026-09-25,180485366,2037
2026-09-25,180491274,408
2026-09-25,180511619,60
2026-09-25,180515096,864
2026-09-25,182116268,2379
2026-09-25,182134623,6174
2026-09-25,182758744,588
2026-09-25,182813489,978
2026-09-25,182941872,24
2026-09-25,183545796,8397
2026-09-25,183572891,1164
2026-09-25,183651449,1716
2026-09-25,183714326,870
2026-09-25,183753179,759
2026-09-25,183754093,870
2026-09-25,184283938,588
2026-09-25,184394552,120
2026-09-25,184402617,882
2026-09-25,185714339,3426
2026-09-25,185721925,900
2026-09-25,185862675,252
2026-09-25,186676951,720
2026-09-25,186711413,120
2026-09-25,187039263,2322
2026-09-25,187041402,24
2026-09-25,187050404,930
2026-09-25,187166773,330
2026-09-25,187313988,660
2026-09-25,187572169,780
2026-09-25,187645465,318
2026-09-25,187927629,5334
2026-09-25,188014931,414
2026-09-25,188189600,984
2026-09-25,188601300,1632
2026-09-25,189030113,258
2026-09-25,189037004,2361
2026-09-25,189205584,708
2026-09-25,189211422,15897
2026-09-25,189257260,1254
2026-09-25,189379748,336
2026-09-25,189404662,180
2026-09-25,189428579,138
2026-09-25,189438793,492
2026-09-25,189445450,1182
2026-09-25,189445841,36
2026-09-25,189477317,672
2026-09-25,189508675,426
2026-09-25,189521546,1302
2026-09-25,189522258,390
2026-09-25,189531001,8526
2026-09-25,189590860,564
2026-09-25,189610283,912
2026-09-25,189634812,7926
2026-09-25,189674360,3516
2026-09-25,189829859,294
2026-09-25,189850864,1074
2026-09-25,189857110,1794
2026-09-25,190211456,492
2026-09-25,190278099,1314
2026-09-25,190852162,1194
2026-09-25,190877794,294
2026-09-25,190981880,354
2026-09-25,190997764,744
2026-09-25,191005623,726
2026-09-25,191211795,2334
2026-09-25,191303626,234
2026-09-25,191479561,48
2026-09-25,191481932,3789
2026-09-25,191506324,2676
2026-09-25,191507359,2328
